"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5910","loginTest","Login Suite","2026-06-12","passed","2026-06-12","Pages.Login.LoginTest","Login Test","Pages.Login.LoginTest","loginTest"
"","6950","loginTest","Login Suite","2026-06-12","passed","2026-06-12","Pages.Login.LoginTest","Login Test","Pages.Login.LoginTest","loginTest"
"","5323","loginTest","Login Suite","2026-06-12","failed","2026-06-12","Pages.Login.LoginTest","Login Test","Pages.Login.LoginTest","loginTest"
"","7120","loginTest","Login Suite","2026-06-12","passed","2026-06-12","Pages.Login.LoginTest","Login Test","Pages.Login.LoginTest","loginTest"
